job_id,lineage_id,name_stem,size_class,arrangement,crossover_a,crossover_b,n_pair_combinations,duration_ps,n_frames,structural_gates_applied,valid_frames,pct_frames_structurally_valid,raw_mean_best_periodic_propensity,raw_pct_any_reactive_corner,mean_best_periodic_propensity,median_best_periodic_propensity,p95_best_periodic_propensity,pct_any_reactive_corner
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,045faba9-b7aa-447d-88ef-6e69b0f153e4,31fccb07-bee5-4f1b-b0ca-bbbf89618013,1,223620.00066670193,500,True,500,100.0,0.09484538605082853,0.0,0.09484538605082853,0.09278552040203036,0.1828506130043834,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,538af0a3-8ce9-412d-bcac-e11292651aab,b6969811-6e6b-44cd-9cff-2ff770420798,1,223620.00066670193,500,True,392,78.4,0.09413815874906815,3.5999999999999996,0.07127494893636975,0.07294919639323297,0.13872228952639354,0.25510204081632654
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,83796f86-becf-4926-85f9-5ea2a856d786,fd52686b-a079-406c-aa0b-05c503472350,1,223620.00066670193,500,True,409,81.8,0.0918016720946209,0.0,0.091624855393109,0.0901880271908287,0.1437270900927564,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,00eed7d2-d16f-4b2d-8284-9647c8a9adec,c8241463-0e85-45c4-b96b-7376ad3ab8ae,1,223620.00066670193,500,True,363,72.6,0.08880328759741019,0.0,0.08243096810887748,0.0778303829702885,0.17849353850519273,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,196acc86-5acb-480d-a74d-6ef9f23ef258,24840f1c-8b8b-494a-83ff-4309087a5ec2,1,223620.00066670193,500,True,499,99.8,0.08547590235106288,0.0,0.08541265729373747,0.0633613477369918,0.22640926965013158,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,0e907dd4-b040-422a-9e4c-a009e6855f6e,3201b3a5-cfa9-4023-a894-00d1dbe6045f,1,223620.00066670193,500,True,404,80.80000000000001,0.08538496913092763,0.0,0.09422856253550235,0.08908467967839301,0.17866539494652425,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,4fb04c20-5a73-4f40-a033-4c1426088510,5f63d842-e359-4ff4-b838-b16bea4f60ad,1,223620.00066670193,500,True,417,83.39999999999999,0.08423946447099646,0.0,0.09810181521634843,0.08841259880111894,0.23439622441494806,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,d116b887-9351-4d6b-9cc5-f486c518c7c7,d3ae2a98-445c-47cd-b7ac-e120d1425c8c,1,223620.00066670193,500,True,499,99.8,0.08207574184568688,2.0,0.082173071940924,0.06552274107031486,0.2062824759446792,2.004008016032064
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,046a3408-0803-4a19-87e4-8ae7ae5b5355,bfbf6737-84b6-44de-8f9d-a44e79eb4a37,1,223620.00066670193,500,True,500,100.0,0.08202768685139249,0.0,0.08202768685139249,0.0667738998483581,0.2153470739539754,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,97ccf4ef-a0ea-4bb8-9b30-55e35077891a,f8609418-c72e-4722-8324-0942958d75d2,1,223620.00066670193,500,True,467,93.4,0.08077987572492963,0.0,0.08005686696428414,0.06587018486656457,0.1737816921364698,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,72dd88d6-43c8-4af6-98e6-e44f3f800ade,80bd169c-b4cb-4e0c-99aa-28c5d22887a2,1,223620.00066670193,500,True,500,100.0,0.08035510235559859,0.0,0.08035510235559859,0.06003747848589029,0.21546033035092757,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,661051fa-8ca3-4a7e-8f97-0dd8be0ff513,830ddc91-3b4d-462c-b82a-c48937bdad2a,1,223620.00066670193,500,True,490,98.0,0.08003801208971291,0.0,0.08074849708317489,0.07279990073594088,0.17243151303046061,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,518c5c21-e68c-4553-9dfe-d659bc024d5a,560a0963-0331-4998-ad65-5ec3ab4e6ff2,1,223620.00066670193,500,True,109,21.8,0.07783643982292054,0.0,0.06960980147828683,0.06360305912360169,0.13529194900878086,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,0108b201-9852-4ac1-8bce-b59610bc26dd,27d95e9c-d7dc-4741-8e27-133c9455d9e4,1,223620.00066670193,500,True,497,99.4,0.07705824089342254,0.0,0.07689220058903626,0.07122342133797599,0.16397409707818172,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,5b560008-3ddb-4f2a-a9bc-2e996d848d7b,c8153e0e-815b-46f4-ab51-404f690f3841,1,223620.00066670193,500,True,500,100.0,0.07516484790098855,0.0,0.07516484790098855,0.04507015688131215,0.22313547449860102,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,384f24bb-8c82-416e-91a5-59246a53f153,a428cf6d-fed4-4dbb-89a6-98772c2e2893,1,223620.00066670193,500,True,499,99.8,0.07436035737916703,0.0,0.0744894003722802,0.05781415869548599,0.22899309880388352,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,2792a370-9500-4b93-bf07-975b779c92de,f2d53620-5a3c-4a20-97be-f819d9aedf83,1,223620.00066670193,500,True,456,91.2,0.07420788634133302,0.0,0.06765408560412198,0.04754416700418468,0.1869386902763846,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,72258902-2503-4a02-98b8-ea9fe7dc047c,91323e36-b0ea-4135-b6d3-6df4cde066a8,1,223620.00066670193,500,True,500,100.0,0.07365882458407469,0.0,0.07365882458407469,0.06582543756906663,0.17192763645360276,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,1586d05a-2974-4801-8c0d-f1ae25cf1522,30889ac1-4071-4294-a563-4da7afff7ec7,1,223620.00066670193,500,True,464,92.80000000000001,0.07166306227251223,0.0,0.07037676344140342,0.05956518552434155,0.16453735244084663,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,22269d2b-41d5-4782-b6e7-5f16c3680ed1,a439965d-c5d2-40ff-a48c-05b2bafdab11,1,223620.00066670193,500,True,499,99.8,0.0714412679295821,0.0,0.07155624700875368,0.06352835155508994,0.16626675456684473,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,d085cfc1-9eb4-469a-a5f9-65f9e08ee4fd,dbc17770-0f73-443d-a4cd-51b94aa7821a,1,223620.00066670193,500,True,500,100.0,0.06969496145906996,0.0,0.06969496145906996,0.053920292113884244,0.19194954158784736,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,6a1557ef-88ea-497f-8744-9770f0b91d64,a1c99055-13f4-4845-b341-965d00d824c0,1,223620.00066670193,500,True,498,99.6,0.06922395416247427,0.0,0.06925160706805716,0.06420964313798949,0.12631636172435137,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,9ec4b2ea-1f21-4942-a191-673b90de94db,b109e65d-e947-4bad-84ea-f98e60f264b5,1,223620.00066670193,500,True,500,100.0,0.06915897591945923,0.0,0.06915897591945923,0.06112258076745623,0.15495865707185177,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,e05d797c-8862-4fc2-9971-8c86f0e331a7,e4a24452-b485-49f2-bfc9-8569c0efd92d,1,223620.00066670193,500,True,500,100.0,0.06895668014513957,0.0,0.06895668014513957,0.061575611516560935,0.14260383762194498,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,24954e5b-be3b-44f2-b8cd-dd44da06e4b2,48e6d986-f1b4-41e1-adbf-081075375648,1,223620.00066670193,500,True,500,100.0,0.0688109454367067,0.0,0.0688109454367067,0.06152412771468105,0.1678990178295315,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,204af187-15ba-40eb-bf2b-f449ef24da8c,ef97c53c-561a-49c1-8140-6d047fa1a788,1,223620.00066670193,500,True,416,83.2,0.06792288700528676,0.0,0.06826737249275791,0.06425247471650815,0.13969136435334464,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,7c2c6ca9-8f8e-482e-9dc1-c8e5be0d7b3b,c097df59-9a2d-4371-89ce-133542ebfc6a,1,223620.00066670193,500,True,498,99.6,0.06752028316641244,0.0,0.06758835595190055,0.05137026657601063,0.16286201334899472,0.0
6950d3b79138,6950d3b79138,24hb_1xT,larger_origami,1-1,358432c8-6cc6-4625-b45b-784fe6aad417,fbfbc718-095a-4156-8dee-92692beb52d0,1,223620.00066670193,500,True,500,100.0,0.0642087406856689,0.0,0.0642087406856689,0.059740454923217265,0.1309639144987105,0.0
