# TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTALAVG,TEMPAVG,PRESSURE,GPRESSURE,VOLUME,PRESSAVG,GPRESSAVG
2.410000000000000000e+03,1.767132370000000083e+04,4.197133860000000277e+04,5.578433830000000307e+04,8.951257000000000517e+02,-3.265758241899999790e+06,2.318056124999999884e+05,3.492242639999999665e+04,0.000000000000000000e+00,5.061206692000000039e+05,-2.376587407500000205e+06,2.976553999999999860e+02,-2.882708076700000092e+06,-2.377379058000000194e+06,2.977049000000000092e+02,3.380310000000000059e+01,9.010330000000000439e+01,8.033265410500000231e+06,-1.079510999999999967e+02,-5.359819999999999851e+01
2.420000000000000000e+03,1.779779420000000027e+04,4.208524829999999929e+04,5.585756739999999991e+04,9.142688000000000557e+02,-3.267197484399999958e+06,2.320109048999999941e+05,3.483728859999999986e+04,0.000000000000000000e+00,5.067650051000000094e+05,-2.376929407099999953e+06,2.980342999999999734e+02,-2.883694412200000137e+06,-2.377336595799999777e+06,2.977466000000000008e+02,-4.460188999999999737e+02,-3.917799999999999727e+02,8.033293317200000398e+06,-1.062669999999999959e+02,-5.186399999999999721e+01
2.430000000000000000e+03,1.778427390000000014e+04,4.218229970000000321e+04,5.597424510000000009e+04,9.294237000000000535e+02,-3.265988092000000179e+06,2.315436692000000039e+05,3.478136860000000161e+04,0.000000000000000000e+00,5.065251869999999763e+05,-2.376267624799999874e+06,2.978933000000000106e+02,-2.882792811799999792e+06,-2.377270613100000191e+06,2.977572999999999865e+02,3.288772999999999911e+02,3.831039000000000101e+02,8.033261516699999571e+06,-1.124868000000000023e+02,-5.813580000000000325e+01
2.440000000000000000e+03,1.779240669999999955e+04,4.206536230000000069e+04,5.585813420000000042e+04,8.845025000000000546e+02,-3.265639786299999803e+06,2.308958428999999887e+05,3.466539660000000003e+04,0.000000000000000000e+00,5.068538718000000226e+05,-2.376624269199999981e+06,2.980865999999999758e+02,-2.883478140999999829e+06,-2.377253799099999946e+06,2.977538999999999874e+02,-5.299575999999999567e+02,-4.779589000000000283e+02,8.033273007699999958e+06,-1.084645000000000010e+02,-5.402129999999999654e+01
2.450000000000000000e+03,1.789299469999999928e+04,4.191912969999999768e+04,5.585695190000000002e+04,8.756558999999999742e+02,-3.266181660800000187e+06,2.323419317999999912e+05,3.497235859999999957e+04,0.000000000000000000e+00,5.054942410999999847e+05,-2.376828397100000177e+06,2.972869999999999777e+02,-2.882322638199999928e+06,-2.377239440200000070e+06,2.977450000000000045e+02,-1.715109999999999957e+01,3.623230000000000217e+01,8.033188556300000288e+06,-1.416254000000000133e+02,-8.700960000000000605e+01
2.460000000000000000e+03,1.790542499999999927e+04,4.164762019999999757e+04,5.591612210000000050e+04,8.937364000000000033e+02,-3.266652710299999919e+06,2.329025299999999988e+05,3.510012210000000050e+04,0.000000000000000000e+00,5.056002906000000075e+05,-2.376686864099999890e+06,2.973493000000000279e+02,-2.882287154600000009e+06,-2.377177915099999867e+06,2.977271999999999821e+02,2.809465000000000146e+02,3.377284999999999968e+02,8.033096379499999806e+06,-8.712690000000000623e+01,-3.237870000000000203e+01
2.470000000000000000e+03,1.781796970000000147e+04,4.180608619999999792e+04,5.584480069999999978e+04,8.956092999999999620e+02,-3.267281379399999976e+06,2.327341326999999874e+05,3.456833509999999660e+04,0.000000000000000000e+00,5.067274290000000037e+05,-2.376887016700000037e+06,2.980122000000000071e+02,-2.883614445700000040e+06,-2.377129776300000027e+06,2.977361999999999966e+02,-3.486965000000000146e+02,-2.943829999999999814e+02,8.033020927099999972e+06,-1.221337999999999937e+02,-6.739140000000000441e+01
2.480000000000000000e+03,1.796799139999999898e+04,4.168917740000000049e+04,5.583413139999999839e+04,8.980222999999999729e+02,-3.266293276999999769e+06,2.328193876999999920e+05,3.465151739999999700e+04,0.000000000000000000e+00,5.059999569999999949e+05,-2.376433092300000135e+06,2.975844000000000165e+02,-2.882433049300000072e+06,-2.377061948799999896e+06,2.977364000000000033e+02,3.748607999999999834e+02,4.274947999999999979e+02,8.032890939699999988e+06,-1.054689000000000050e+02,-5.086990000000000123e+01
2.490000000000000000e+03,1.803274260000000140e+04,4.183304780000000028e+04,5.581375510000000213e+04,9.279456999999999880e+02,-3.266923437100000214e+06,2.321408652000000002e+05,3.480973709999999846e+04,0.000000000000000000e+00,5.065037310999999754e+05,-2.376861612499999814e+06,2.978806999999999903e+02,-2.883365343599999789e+06,-2.377008209400000051e+06,2.977389999999999759e+02,-4.907620999999999754e+02,-4.336483999999999810e+02,8.032796793499999680e+06,-1.118114000000000061e+02,-5.704460000000000264e+01
2.500000000000000000e+03,1.781543040000000110e+04,4.184230569999999716e+04,5.586946169999999984e+04,9.066467000000000098e+02,-3.267525716200000141e+06,2.329284225999999908e+05,3.483305640000000130e+04,0.000000000000000000e+00,5.064522455000000191e+05,-2.376878147200000007e+06,2.978503999999999792e+02,-2.883330392700000200e+06,-2.376967751099999994e+06,2.977456000000000245e+02,3.748378000000000156e+02,4.303324000000000069e+02,8.032638127199999988e+06,-1.026608999999999980e+02,-4.792819999999999681e+01
