sweep,helix,delta,count,total_skips,twist_deg,bend_deg,rmsd_nm,dev_max_nm,dev_mean_nm,n_core,solve_s,error
axis,h_XY_1_5,-1,9,179,14.649,0.865,0.4486,0.9854,0.3848,14042,374.5,
axis,h_XY_1_5,1,11,181,13.721,0.688,0.4402,0.9496,0.3784,14038,373.5,
axis,h_XY_1_5,2,12,182,13.261,0.986,0.442,0.9764,0.3846,14036,373.3,
axis,h_XY_1_5,4,14,184,12.328,1.358,0.4573,1.0536,0.4081,14032,378.5,
axis,h_XY_1_5,6,16,186,11.413,2.152,0.4867,1.1579,0.4421,14028,371.8,
axis,h_XY_1_5,8,18,188,10.493,2.853,0.528,1.2793,0.4841,14024,367.0,
axis,h_XY_1_5,12,22,192,8.668,4.311,0.6364,1.5543,0.5847,14016,366.2,
axis,h_XY_1_5,20,30,200,4.891,7.133,0.9096,2.3299,0.8249,14000,372.4,
axis,h_XY_1_5,16,26,196,6.783,5.701,0.7667,1.9201,0.7001,14008,378.8,
axis,h_XY_1_4,-8,2,172,17.943,1.886,0.5202,1.2813,0.4575,14056,366.4,
axis,h_XY_1_4,-6,4,174,16.985,1.595,0.4933,1.1792,0.4307,14052,372.4,
axis,h_XY_1_4,-4,6,176,16.022,1.337,0.4709,1.0825,0.4075,14048,374.2,
axis,h_XY_1_4,-2,8,178,15.115,0.908,0.4537,0.9927,0.3892,14044,376.2,
axis,h_XY_1_4,-1,9,179,14.646,0.728,0.4473,0.9607,0.3825,14042,372.3,
axis,h_XY_1_4,1,11,181,13.712,0.467,0.4392,0.9419,0.3764,14038,362.7,
axis,h_XY_1_4,2,12,182,13.246,0.735,0.4375,0.9389,0.3774,14036,373.7,
axis,h_XY_1_4,6,16,186,11.368,1.394,0.4472,1.0036,0.3987,14028,372.0,
axis,h_XY_1_4,8,18,188,10.464,1.668,0.4613,1.0555,0.4168,14024,365.5,
axis,h_XY_1_4,4,14,184,12.311,1.199,0.4391,0.9607,0.3852,14032,377.9,
axis,h_XY_1_4,12,22,192,8.555,2.523,0.5057,1.1818,0.4642,14016,364.3,
axis,h_XY_1_4,16,26,196,6.662,3.525,0.5671,1.3307,0.5231,14008,376.8,
axis,h_XY_1_4,20,30,200,4.774,4.46,0.6407,1.5067,0.5905,14000,374.1,
axis,h_XY_1_3,-8,2,172,17.954,0.957,0.4865,1.1274,0.4136,14056,365.9,
axis,h_XY_1_3,-6,4,174,17.02,0.853,0.4734,1.0733,0.4027,14052,375.0,
axis,h_XY_1_3,-4,6,176,16.08,0.721,0.4616,1.0219,0.3929,14048,373.1,
axis,h_XY_1_3,1,11,181,13.704,0.448,0.4387,0.9353,0.3754,14038,366.0,
axis,h_XY_1_3,-2,8,178,15.133,0.577,0.4513,0.9777,0.3846,14044,377.5,
axis,h_XY_1_3,-1,9,179,14.658,0.51,0.4467,0.9629,0.3811,14042,376.8,
axis,h_XY_1_3,2,12,182,13.225,0.433,0.4354,0.9226,0.3734,14036,369.3,
axis,h_XY_1_3,4,14,184,12.263,0.594,0.4301,0.9011,0.3709,14032,374.4,
axis,h_XY_1_3,6,16,186,11.295,0.754,0.4267,0.8919,0.3703,14028,365.0,
axis,h_XY_1_3,12,22,192,8.351,1.168,0.4282,0.8789,0.3789,14016,373.8,
axis,h_XY_1_3,8,18,188,10.32,0.886,0.4252,0.8851,0.3715,14024,376.2,
axis,h_XY_1_2,-8,2,172,18.008,0.949,0.4864,1.1554,0.4126,14056,368.8,
axis,h_XY_1_3,16,26,196,6.327,1.44,0.439,0.8894,0.3926,14008,376.4,
axis,h_XY_1_3,20,30,200,4.344,1.47,0.4571,0.9242,0.4121,14000,377.7,
axis,h_XY_1_2,-6,4,174,17.06,0.792,0.4733,1.0936,0.4018,14052,373.7,
axis,h_XY_1_2,-4,6,176,16.104,0.653,0.4616,1.0351,0.3923,14048,375.6,
axis,h_XY_1_2,-2,8,178,15.142,0.463,0.4512,0.9898,0.3843,14044,376.6,
axis,h_XY_1_2,-1,9,179,14.658,0.441,0.4467,0.9687,0.3809,14042,367.0,
axis,h_XY_1_2,2,12,182,13.199,0.576,0.4354,0.9122,0.3737,14036,369.5,
axis,h_XY_1_2,1,11,181,13.687,0.481,0.4387,0.9298,0.3756,14038,374.2,
axis,h_XY_1_2,4,14,184,12.218,0.643,0.4301,0.8956,0.3714,14032,381.1,
axis,h_XY_1_2,6,16,186,11.232,0.795,0.4267,0.8913,0.3708,14028,380.2,
axis,h_XY_1_2,8,18,188,10.239,0.917,0.4252,0.89,0.372,14024,377.7,
axis,h_XY_1_2,12,22,192,8.232,1.196,0.4282,0.8962,0.3792,14016,381.6,
axis,h_XY_1_2,16,26,196,6.195,1.443,0.4391,0.9148,0.3928,14008,379.9,
axis,h_XY_1_1,-6,4,174,17.232,1.465,0.4938,1.1945,0.43,14052,368.6,
axis,h_XY_1_2,20,30,200,4.143,1.587,0.4574,0.9452,0.4123,14000,380.3,
axis,h_XY_1_1,-8,2,172,18.271,1.762,0.5208,1.2973,0.4568,14056,374.8,
axis,h_XY_1_1,-2,8,178,15.229,0.826,0.454,1.0099,0.3886,14044,378.2,
axis,h_XY_1_1,-4,6,176,16.242,1.281,0.4713,1.0969,0.4069,14048,382.8,
axis,h_XY_1_1,-1,9,179,14.721,0.533,0.4475,0.977,0.3821,14042,376.6,
axis,h_XY_1_1,1,11,181,13.706,0.585,0.4391,0.9259,0.3768,14038,370.4,
axis,h_XY_1_1,2,12,182,13.199,0.764,0.4373,0.9369,0.3779,14036,367.9,
axis,h_XY_1_1,4,14,184,12.181,1.233,0.4387,0.9713,0.3855,14032,375.7,
axis,h_XY_1_1,8,18,188,10.156,1.857,0.4607,1.067,0.4167,14024,373.2,
axis,h_XY_1_1,6,16,186,11.156,1.61,0.4466,1.0151,0.3988,14028,375.1,
axis,h_XY_1_1,12,22,192,8.082,2.548,0.5052,1.1912,0.464,14016,373.8,
axis,h_XY_1_1,16,26,196,5.998,3.523,0.567,1.3538,0.523,14008,379.8,
axis,h_XY_1_1,20,30,200,3.871,4.451,0.6412,1.5701,0.5908,14000,373.9,
axis,h_XY_1_0,-6,4,174,17.343,2.201,0.5314,1.3308,0.4728,14052,368.0,
axis,h_XY_1_0,-8,2,172,18.408,2.888,0.5823,1.5004,0.522,14056,373.6,
axis,h_XY_1_0,-4,6,176,16.276,1.597,0.4895,1.1756,0.43,14048,375.6,
axis,h_XY_1_0,-1,9,179,14.681,0.709,0.4489,0.9875,0.3844,14042,375.0,
axis,h_XY_1_0,-2,8,178,15.21,1.169,0.459,1.0398,0.3963,14044,383.1,
axis,h_XY_1_0,1,11,181,13.631,0.65,0.44,0.9404,0.3788,14038,376.3,
axis,h_XY_1_0,2,12,182,13.11,1.143,0.4414,0.9744,0.3848,14036,377.9,
axis,h_XY_1_0,8,18,188,9.997,2.892,0.5259,1.2808,0.4829,14024,372.2,
axis,h_XY_1_0,4,14,184,12.13,1.682,0.4561,1.0595,0.4078,14032,379.8,
axis,h_XY_1_0,6,16,186,11.034,2.142,0.485,1.163,0.4413,14028,382.2,
axis,h_XY_1_0,16,26,196,5.944,5.861,0.764,1.9526,0.6983,14008,372.7,
axis,h_XY_1_0,12,22,192,7.918,4.35,0.6339,1.5878,0.5831,14016,379.0,
axis,h_XY_1_0,20,30,200,3.807,7.402,0.9071,2.3411,0.8231,14000,385.0,
axis,h_XY_2_0,-8,2,172,14.713,6.167,0.7513,2.2619,0.6691,14056,381.1,
axis,h_XY_2_0,-6,4,174,14.562,4.665,0.633,1.9143,0.5663,14052,380.8,
axis,h_XY_2_0,-4,6,176,14.484,3.037,0.5332,1.5737,0.4768,14048,368.8,
axis,h_XY_2_0,-2,8,178,14.31,1.748,0.4647,1.2463,0.4083,14044,378.1,
axis,h_XY_2_0,-1,9,179,14.257,0.961,0.447,1.0917,0.3861,14042,379.2,
axis,h_XY_2_0,1,11,181,14.161,0.969,0.4515,1.0706,0.3913,14038,369.6,
axis,h_XY_2_0,2,12,182,14.118,1.786,0.4735,1.2343,0.4177,14036,376.4,
axis,h_XY_2_0,4,14,184,14.026,3.045,0.5491,1.5952,0.494,14032,382.0,
axis,h_XY_2_0,6,16,186,13.995,4.546,0.6542,1.9814,0.5907,14028,375.8,
axis,h_XY_2_0,8,18,188,14.0,6.116,0.777,2.3817,0.7001,14024,381.3,
axis,h_XY_2_0,12,22,192,13.812,9.048,1.0508,3.2063,0.9401,14016,366.6,
axis,h_XY_2_0,20,30,200,13.704,15.026,1.6452,4.9081,1.457,14000,370.8,
axis,h_XY_2_0,16,26,196,13.766,12.106,1.3434,4.0504,1.1947,14008,376.9,
axis,h_XY_2_1,-8,2,172,16.26,5.632,0.7163,2.2115,0.6336,14056,368.5,
axis,h_XY_2_1,-6,4,174,15.716,4.175,0.6123,1.8802,0.5437,14052,371.6,
axis,h_XY_2_1,-2,8,178,14.683,1.592,0.4649,1.2397,0.406,14044,370.6,
axis,h_XY_2_1,-4,6,176,15.217,2.737,0.5253,1.5546,0.466,14048,380.1,
axis,h_XY_2_1,-1,9,179,14.423,0.813,0.4483,1.0896,0.3861,14042,377.5,
