crossover_id,site_class,source_helix,destination_helix,bp,n_samples,n_valid,n_stable,valid_fraction,mean_azimuth_deg,mean_polar_deg,resultant_length,mean_vector_ih_ax_perp,mean_direction_ih_ax_perp
9ec4b2ea-1f21-4942-a191-673b90de94db,reciprocal_upper,h_XY_1_1,h_XY_1_0,105,509,509,509,1.0,40.66647453010324,83.66173691800857,0.8891323915144691,"[0.6702985085913312, 0.09815850031743943, 0.5758656334909277]","[0.7538793041265816, 0.11039807035962886, 0.6476714142761679]"
560cdddf-df14-4cf8-88e9-5c8cbbdea0a1,unpaired,h_XY_1_6,h_XY_1_5,132,509,506,506,0.9941060903732809,-84.30425696125106,115.33921024035654,0.7342195983232832,"[0.06585756429944598, -0.3142287120166175, -0.6603041089762545]","[0.08969736635993245, -0.4279764701653468, -0.8993278175687117]"
a1c99055-13f4-4845-b341-965d00d824c0,reciprocal_upper,h_XY_1_5,h_XY_1_4,126,509,508,508,0.9980353634577603,15.201295571586948,98.11096348704879,0.9277677197611809,"[0.8863496215323895, -0.13089936857392384, 0.24083738403163052]","[0.9553572544651016, -0.1410906693408335, 0.2595880185329417]"
4f945709-42c9-47cc-a824-2ffe8cbf8aa9,unpaired,h_XY_1_4,h_XY_1_3,132,509,484,444,0.9508840864440079,26.552644309025414,159.30794429386523,0.6385565825903621,"[0.20183222462602435, -0.5973652339141647, 0.10086148711310548]","[0.31607570907385185, -0.9354930325687022, 0.15795230972947114]"
b5ba8ab1-824c-4cee-8459-e56051ad2e07,reciprocal_upper,h_XY_1_3,h_XY_1_2,126,509,465,425,0.9135559921414538,30.988196958026474,69.98206241889726,0.891258667711929,"[0.7178924910246389, 0.3050906012058427, 0.4311520719629431]","[0.8054816374102012, 0.34231431598761575, 0.48375638586473674]"
ed30af27-7ebb-4f5d-b488-cbd0db77f7e2,unpaired,h_XY_1_2,h_XY_1_1,132,509,505,501,0.9921414538310412,-16.71911806892675,44.59158846577276,0.8920934895084177,"[0.599817350763381, 0.6352857522499418, -0.18017200874367265]","[0.6723705058019271, 0.7121291206821965, -0.20196538912413234]"
0cc2ae9a-94ef-41b2-b7f0-f56bf85faffd,reciprocal_upper,h_XY_1_1,h_XY_1_0,126,509,452,446,0.888015717092338,26.69094312845573,101.32430947396897,0.781080062101276,"[0.6842639072897292, -0.15337458541561363, 0.3440133793056815]","[0.8760483598171868, -0.19636218213405998, 0.4404329287067069]"
9d3a6e5f-526a-462f-a21d-ad8d5217ec9d,reciprocal_upper,h_XY_2_0,h_XY_1_0,119,509,507,507,0.9960707269155207,43.196038268321615,129.82905010836387,0.8088747971480869,"[0.4528520144643102, -0.5180836219177575, 0.42519742609469424]","[0.5598542766581008, -0.6404991523340886, 0.5256653163058684]"
1fed1126-3535-4c42-a9d6-905b516e415f,reciprocal_lower,h_XY_1_0,h_XY_1_1,125,509,477,436,0.93713163064833,-179.38767966152136,67.81348423951056,0.8424909027281358,"[-0.7800678910580947, 0.318143839310601, -0.008336907613496309]","[-0.9259066044892542, 0.37762287792116744, -0.009895546155453922]"
b884c651-8b4f-475d-973f-6c16a2662004,reciprocal_upper,h_XY_1_1,h_XY_0_1,119,509,509,509,1.0,44.242705961675426,124.01379889459564,0.8437023462954635,"[0.5010059507601157, -0.4719608064827363, 0.4879340975906355]","[0.5938183684802318, -0.5593925494637136, 0.5783249267150451]"
7aec9dc3-1624-4f48-bd0c-fc2153c35da9,reciprocal_lower,h_XY_0_1,h_XY_0_2,125,509,509,509,1.0,-173.22585752426633,44.343156180566226,0.9056455778150867,"[-0.6285856378892941, 0.647687352911877, -0.07466660119047419]","[-0.6940746504894189, 0.7151664721584062, -0.0824457194067142]"
50e515c7-19cc-4c03-921c-4710318b353e,reciprocal_upper,h_XY_2_0,h_XY_1_0,98,509,485,467,0.9528487229862476,12.346111841639475,88.21585998979778,0.6164862304718073,"[0.6019373024542607, 0.019193734963161523, 0.13175111693488661]","[0.976400238483166, 0.03113408542551264, 0.21371299215240422]"
b109e65d-e947-4bad-84ea-f98e60f264b5,reciprocal_lower,h_XY_1_0,h_XY_1_1,104,509,508,508,0.9980353634577603,-176.12420325309495,52.207273752236574,0.8514988080272077,"[-0.671343365352299, 0.5218042067912878, -0.04548269609554868]","[-0.7884254904686229, 0.6128067378041647, -0.05341486760377871]"
43579f1e-ca05-423d-97f0-6f9999d27461,reciprocal_upper,h_XY_1_1,h_XY_0_1,98,509,505,504,0.9921414538310412,-16.110855926371897,134.82397682040465,0.9087664196929267,"[0.6192517283619231, -0.6406176986890055, -0.178864939573618]","[0.6814201261652791, -0.70493108548781, -0.19682168673668277]"
59fd9282-3a30-4116-9238-c7574588a4af,reciprocal_lower,h_XY_0_1,h_XY_0_2,104,509,206,98,0.40471512770137524,-173.5663984379716,50.96685601612961,0.9023854779555394,"[-0.6965422437015634, 0.568295160446839, -0.07854339040900034]","[-0.7718899081572788, 0.6297698426335259, -0.08703973227378353]"
8fdb431f-1974-48fc-943a-6f8ac39c0283,reciprocal_upper,h_XY_2_0,h_XY_1_0,77,509,509,509,1.0,-3.348036388137338,93.90916849797702,0.9156036463483122,"[0.9119142743310821, -0.06242122338631636, -0.05334776798045634]","[0.9959705577495849, -0.068174939708104, -0.05826513272770638]"
55e4d411-a605-4628-9b68-edc81840e626,reciprocal_lower,h_XY_1_0,h_XY_1_1,83,509,355,166,0.6974459724950884,103.57955028063355,33.893080013264765,0.741991741220124,"[-0.09715070826523532, 0.6159122386021865, 0.40220094264245315]","[-0.13093233100611287, 0.8300796415730806, 0.5420558212428049]"
8a83746a-e453-4b10-abbe-c6ddb486c149,reciprocal_upper,h_XY_1_1,h_XY_0_1,77,509,509,509,1.0,19.248437852003793,110.72958896603812,0.9295115165982158,"[0.8207385829165387, -0.3290079288194353, 0.28658963828933615]","[0.8829783905424223, -0.3539578831938776, 0.3083228482614007]"
735f3815-75bc-4443-af88-6ef5468d00e3,reciprocal_lower,h_XY_0_1,h_XY_0_2,83,509,501,501,0.9842829076620825,165.0497217371424,81.75624618616114,0.927015647987882,"[-0.886381643468407, 0.13291989098282925, 0.23668100117616456]","[-0.9561668623311025, 0.14338473279424813, 0.2553150010896671]"
43252891-1853-4fa3-9826-b7fc15099ff4,reciprocal_upper,h_XY_2_0,h_XY_2_1,49,509,509,509,1.0,-128.92163765235242,103.34321251708599,0.9556259702760161,"[-0.5841714585066302, -0.2205428436052208, -0.7234124385623576]","[-0.611297177637295, -0.23078364387849443, -0.7570037452554919]"
d059f014-f371-487b-8c2d-78e0e5163d22,reciprocal_lower,h_XY_2_1,h_XY_2_0,69,509,505,505,0.9921414538310412,-28.33677251295066,101.92081028225162,0.8408377952420838,"[0.7241220387592822, -0.17368309680833313, -0.3904992353049314]","[0.8611911154050844, -0.20655957402382039, -0.4644168441459076]"
893156fa-e45d-4141-8958-313ca31ba967,reciprocal_upper,h_XY_2_0,h_XY_1_0,35,509,509,509,1.0,19.684817739961826,101.59836775472954,0.880221456784887,"[0.8118582686288904, -0.17696853697690323, 0.2904446617923342]","[0.9223341039586774, -0.20105001487160035, 0.3299677138673916]"
